File	Precision	Recall	F1	Accuracy
apple_tweets_autowrong_tweets_corrected_dict=NLTKWordNet_transition=Twitter_PseudoUniform_key-prob=0.95_word_evaluation_index	0.33636200071968336	0.3688467988556772	0.35185620853526556	0.8006281479766109
apple_tweets_autowrong_tweets_corrected_dict=NLTKWordNet_transition=SwiftKey_PseudoUniform_key-prob=0.95_word_evaluation_index	0.3303018938683668	0.34323850350740454	0.33664596273291925	0.7990505413072425
apple_tweets_autowrong_tweets_corrected_dict=NLTKWordNet_transition=Hybrid_PseudoUniform_key-prob=0.95_word_evaluation_index	0.3310861423220974	0.34390196459832717	0.33737238813090353	0.7989637005731488
apple_tweets_autowrong_tweets_corrected_dict=NLTKWordNet_transition=Twitter_PseudoUniform_key-prob=0.9_word_evaluation_index	0.3174080175727622	0.42428691275167785	0.36314679351972357	0.7946071904127829
apple_tweets_autowrong_tweets_corrected_dict=NLTKWordNet_transition=Twitter_Gaussian_variance=0.35_word_evaluation_index	0.27616064848931465	0.31070577261892424	0.29241648378444285	0.7900046315058183
apple_tweets_autowrong_tweets_corrected_dict=NLTKWordNet_transition=Twitter_Gaussian_variance=0.3_word_evaluation_index	0.2571394574012375	0.20643867023309131	0.22901653242899533	0.7894112198228449
apple_tweets_autowrong_tweets_corrected_dict=NLTKWordNet_transition=SwiftKey_Gaussian_variance=0.3_word_evaluation_index	0.24618421052631578	0.1748108007100813	0.2044473583565536	0.7892520118103399
apple_tweets_autowrong_tweets_corrected_dict=NLTKWordNet_transition=Hybrid_Gaussian_variance=0.3_word_evaluation_index	0.24549638395792242	0.17450228993363867	0.2039991258741259	0.7891217507091993
apple_tweets_autowrong_tweets_corrected_dict=NLTKWordNet_transition=Hybrid_PseudoUniform_key-prob=0.9_word_evaluation_index	0.29937548790007806	0.4038967877830437	0.3438690876485093	0.7881809760898512
apple_tweets_autowrong_tweets_corrected_dict=NLTKWordNet_transition=SwiftKey_PseudoUniform_key-prob=0.9_word_evaluation_index	0.2978955572876072	0.4030370136032901	0.342580558418859	0.7876888785966537
